B-8637	How are you liking Vegas?	كيف حالك تروق فيغاس ؟	N-B		
B-8638	How are you related to those funds?	ما علاقتك برؤس الأموال تلك ؟	N-B		
B-8639	How are you still alive?	كيف لازلت حيا ؟	N-M	كيف لازلت حية ؟	
B-8640	How are you, Miguel?	كيف حالك ، مايكل ؟	N-B		
B-8641	How are you, hmm?	كيف حالك ؟	N-B		
B-8642	How are you, mrs. Mccluskey?	كيف حالك سيدة ( مكلوسكي ) ؟	N-F	كيف حالك سيد ( مكلوسكي ) ؟	
B-8643	How are you,Amy?	كيف حالك ، ( أيمي ) ؟	N-B		
B-8644	How are you?	مرحبا .	B-N		
B-8645	How are your kids?	كيف حال أطفالك ؟	N-B		
B-8646	How are your legs?	كيف حال سيقانك ؟	N-B		
B-8647	How can it not bother you?	كيف لا يزعجك ذلك ؟	N-B		
B-8648	How can we write if you keep interrupting us?	كيف يمكن لنا الكتابة إذا كنت تستمرين في مقاطعتنا ؟	B!-F	كيف يمكن لنا الكتابة إذا كنت تستمر في مقاطعتنا ؟	
B-8649	How can you act like this?	كيف تعيش بهذه الطريقة ؟	N-M	كيف تعيشين بهذه الطريقة ؟	
B-8650	How can you be so cold?	كيف يمكنك أن تصبحي باردة جدا ؟	N-F	كيف يمكنك أن تصبح بارد جدا ؟	
B-8651	How can you be so fucking sure Abdulkarim's not gonna fuck you over?	كيف يمكنك أن تكون متأكد جدا أن ( عبدالكريم ) لن يسحقك ؟	N-M	كيف يمكنك أن تكوني متأكدة جدا أن ( عبدالكريم ) لن يسحقك ؟	
B-8652	How can you be so sure?	؟ كيف تكونين متأكدة هكذا ؟	N-F	؟ كيف تكون متأكدا هكذا ؟	
B-8653	How can you be?	كيف لك ذلك ؟	N-B		
B-8654	How can you believe in something that you can't even quantify?	كيف تؤمنين بوجود شيء لا يمكنك رؤيته ؟	N-F	كيف تؤمن بوجود شيء لا يمكنك رؤيته ؟	
B-8655	How can you claim to be her friend and still want her in jail?	كيف تدعي انك صديقها ومازلت تريدها فى السجن ؟	N-M	كيف تدعي انك صديقها ومازلت تريدينها فى السجن ؟	
B-8656	How can you forgive those who deserve to be punished?	كيف يمكنك مسامحة هؤلاء الذين يستحقون العقاب ؟	N-B		
B-8657	How can you have an engagement party without the prince?	كيف يمكنك أن تقيمي حفلة خطوبة بدون الأمير ؟	N-F	كيف يمكنك أن تقيم حفلة خطوبة بدون الأمير ؟	
B-8658	How can you know something like this?	كيف تعرف شيء كهذا ؟	N-M	كيف تعرفين شيء كهذا ؟	
B-8659	How can you know that?	كيف يمكنك أن تعلم هذا ؟	N-M	كيف يمكنك أن تعلمين هذا ؟	
B-8660	How can you make that decision without...	كيف يمكنك إتخاذ هذا القرار من غير . . . .	N-B		
B-8661	How can you name something the size of a walnut?	كيف تستطيع تسمية شيء بحجم حبة الجوز ؟	N-M	كيف تستطيعين تسمية شيء بحجم حبة الجوز ؟	
B-8662	How can you say such mushy things so naturally?	كيف يمكنك أن تقولى أشياء ناعمه فقط هكذا	N-F	كيف يمكنك أن تقول أشياء ناعمه فقط هكذا	
B-8663	How can you say that?	أنى لك تقول هذا ؟	N-M	أنى لك تقولين هذا ؟	
B-8664	How can you say that?	والآن أشعر بأن إلتزامتي بعد المدرسة ليست جيدة بما فيه الكفاية كيف تقولين هذا ؟	B-F	والآن أشعر بأن إلتزامتي بعد المدرسة ليست جيدة بما فيه الكفاية كيف تقول هذا ؟	Bad translation
B-8665	How can you sleep at night knowing what you've done?	كيف تنامين ليلا و أنت تعرفين ما ارتكبت ؟ أنت شخص فظيع	N-F	كيف تنام ليلا و أنت تعرف ما ارتكبت ؟ أنت شخص فظيع	
B-8666	How can you trust Wikipedia if they use "between" to refer to three parties?		N-M	كيف تثقين بويكيبيديا إذا كانوا يستخدمون كلمة " بين " للإشارة إلى ثلاثة أطراف	
B-8667	How can you understand that and allow these men to be shot tomorrow?	كيف تكون مقتنعا بهذا و تسمح بالإعدام ؟	N-M	كيف تكوني مقتنعة بهذا و تسمحين بالإعدام ؟	
B-8668	How can you walk anywhere? With the child?	كيف لك ان تسير الى أى مكان و معك طفلا ؟	N-M	كيف لك ان تسيري الى أى مكان و معك طفلا ؟	
B-8669	How can you, really?	وكيف لك أن تعرفين ؟	N-F	وكيف لك أن تعرف ؟	
B-8670	How can your mind breathe with all those musty books suffocating you?	كيف يمكن لعقلك التنفس مع كل تلك الكتب العفنة تخنقك ؟	N-B		
B-8671	How close you are now.	مدى قربك الآن . . .	N-B		
B-8672	How come we don't believe you?	كيف نحن لا نصدقك ؟	B!-B		
B-8673	How come you have better friends than we did?	كيف يكون لك أصدقاء أفضل مما كان لدينا	B!-B		
B-8674	How come you moved Frankie to right back?	لما غيرت مركز ( فرانكي ) الى الدفاع الايمن ؟	N-B		
B-8675	How come you never said anything to Jason?	كيف بأنك لم تقولي أي شئ ل ( جاسون ) ؟ ؟	N-F	كيف بأنك لم تقول أي شئ ل ( جاسون ) ؟ ؟	
B-8676	How come you' re not saying anything?	أنا لك الصمت ؟	N-B		
B-8677	How come you're blunt and straightforward about everything else, and you pretend to be coy at times like this?	، لماذا أنتي صريحة وواضحة حول كل شيء آخر وتتظاهرين بأنك خجولة في أوقات كهذه ؟	N-F	، لماذا أنت صريح وواضح حول كل شيء آخر وتتظاهر بأنك خجول في أوقات كهذه ؟	
B-8678	How come you're not heading to Fort Worth where your momma is?	لماذا لا تتوجه الى فورت ورث حيث والدتك موجودة ؟	N-M	لماذا لا تتوجهي الى فورت ورث حيث والدتك موجودة ؟	
B-8679	How could you be so sure?	من أين لكي بهذا اليقين ؟	N-F	من أين لك بهذا اليقين ؟	
B-8680	How could you do that to anybody?	كيف يمكنك فعل هذا لأحد ؟	N-B		
B-8681	How could you do that?	كيف تخول لك نفسك فعل هذا ؟	N-B		
B-8682	How could you dream of doing such a thing abandoning science when your making such progress.	كيف يمكن أن تحلم يفعل مثل هذا الشيء التخلي العلم عندما الخاص بك مما يجعل مثل هذا التقدم .	N-M	كيف يمكن أن تحلمي يفعل مثل هذا الشيء التخلي العلم عندما الخاص بك مما يجعل مثل هذا التقدم .	
B-8683	How could you even ask that?	كيف لك أن تسأل ذلك ؟	N-M	كيف لك أن تسألي ذلك ؟	
B-8684	How could you even focus on your interview right now?	كيف يمكن لك حتى تركز على مقابلة الخاص بك الآن ؟	N-B		
B-8685	How could you forget?	كيف نسيتي ؟	N-F	كيف نسيت ؟	
B-8686	How could you let him beat you deliberately?	كيف يمكنك ذلك خسرت عن عمد ؟	N-B		
B-8687	How could you miss your cue?	كيف تنسي إشارتك ؟	N-M	كيف تنسين إشارتك ؟	
B-8688	How could you miss?	كيف اخطاته ؟	N-B		
B-8689	How could you possibly know this?	كيف لك أن تعرف ذلك ؟	N-M	كيف لك أن تعرفي ذلك ؟	
B-8690	How could you, Mitchell? ! Honestly!	" عمي " كام " إنه خالي " ميتشل		HARD	
B-8691	How could you?	كيف فعلت هذا ؟	N-B		
B-8692	How could you? !	اقبض عليه ؟		HARD	Ambigious (1st/2nd)
B-8693	How crystal clear a situation becomes when you're looking at it from the outside?	كيف أن أمرا واضحا جدا يصبح عندما تنظر أليه من الخارج ؟	N-M	كيف أن أمرا واضحا جدا يصبح عندما تنظرين أليه من الخارج ؟	
B-8694	How dare any of you criticize Bonnie?	كيف تجرؤون على إنتقاد ( بوني )	N-M!	كيف تجرأن على إنتقاد ( بوني )	
B-8695	How dare you come in this room...	كيف تجرؤ على الدخول إلى هذه الغرفة	N-M	كيف تجرئين على الدخول إلى هذه الغرفة	
B-8696	How dare you do that.	كيف تجرؤ على فعل هذا ؟	N-M	كيف تجرئين على فعل هذا ؟	
B-8697	How dare you give her to a stranger!	كيف لك أن تعطيها لشخص غريب	N-B		
B-8698	How dare you look at your tsarina, dog!	قم بجعله يشعر ، الكلب	N-M	قومي بجعله يشعر ، الكلب	
B-8699	How dare you spread such lies?	كيف تجرؤ على نشر مثل هذه الأكاذيب ؟	N-M	كيف تجرئين على نشر مثل هذه الأكاذيب ؟	
B-8700	How dare you touch him? How dare you touch him?	- كيف تجرؤ على لمسه ؟	N-M	- كيف تجرئين على لمسه ؟	
B-8701	How dare you! ?	تبا لك أيها اللعين !	B-M	تبا لك أيتها اللعينة !	
B-8702	How dare you..	كيف تجرؤ ؟	N-M	كيف تجرئين ؟	
B-8703	How dare you?	كيف تتجرائي ؟	N-F	كيف تتجرأ ؟	
B-8704	How did he turn you, Carter? What was your price?	أنى جعلك تعملين لحسابه يا ( كارتر ) ؟	N-F	أنى جعلك تعمل لحسابه يا ( كارتر ) ؟	
B-8705	How did the INS let you in with a criminal record?	كيف سمحت لك وكالة الهجرة بالدخول مع سجلك الإجرامي ؟	N-B		
B-8706	How did you and Carter not know that guy was a cop?	كيف لك ولكارتر عدم معرفة أن ذلك الشخص كان شرطيا ؟		HARD	CONJ
B-8707	How did you come into the employment of Dr. Berenson?	كيف أتيت إلى توظيف الدكتور بيرنسون ؟	N-B		
B-8708	How did you come?	اجر ساعي المكتب ليس جيد	N-N		Bad translation
B-8709	How did you find out?	كيف إكتشفت ذلك ؟	N-B		
B-8710	How did you get a judge in here on Saturday?	كيف استطعت الحصول على قاضي في هذه المكان خلال السبت	N-B		
B-8711	How did you get here?	كيف جاءت هنا ؟	N-N		Bad translation
B-8712	How did you get in here?	كيف جئت إلى هنا ؟	N-B		
B-8713	How did you get in here?	كيف دخلتي هنا ؟ و أولا إنه حتى ليس عيد ميلادي	B-F	كيف دخلت هنا ؟ و أولا إنه حتى ليس عيد ميلادي	دخلتي
B-8714	How did you get in touch with him?	كيف تواصلتى معه ؟	N-F	كيف تواصلت معه ؟	تواصلتى
B-8715	How did you get in?	كيف دخلت إلى هنا ؟	N-B		
B-8716	How did you get into porn movies?	كيف دخلت مجال الافلام الاباحية ؟	N-B		
B-8717	How did you get it?	كيف أستطعت الحصول عليها ؟	N-B		
B-8718	How did you get that phone?	كيف حصلت على ذلك الهاتف ؟	N-B		
B-8719	How did you get them so tender?	كيف تجعلينها لينة إلى هذا الحد ؟	N-F	كيف تجعلها لينة إلى هذا الحد ؟	
B-8720	How did you get these?	كيف حصلت على هذه الصور ؟	N-B		
B-8721	How did you get this ?	كيف أصبحت هذا ؟	N-B		
B-8722	How did you get...	كيف تحصل عليه . . .	N-M	كيف تحصلين عليه . . .	
B-8723	How did you guys find us?	كيف عثرتم علينا	B!-M!	كيف عثرتن علينا	
B-8724	How did you know Qiu Chuji was with us?	كيف عرفت بأن ( تشيو شوجي ) كان معنا ؟	B!-B		
B-8725	How did you know about that?	كيف عرفت عن هذا ؟	N-B		
B-8726	How did you know she'd have the marks?	كيف عرفت بان الفتاة لديها العلامات ؟	N-B		
B-8727	How did you know that Tara Mohr was leaking information?	كيف عرفت أن ( تارا مور ) كانت تسرب معلومات ؟	N-B		
B-8728	How did you know that he was lying?	كيف عرفت إنه كان يكذب ؟	N-B		
B-8729	How did you know that that...?	كيف عرفت أن هذا . . . ؟	N-B		
B-8730	How did you know that?	- إيريكا ستامب ) ) . - كيف عرفت ذلك ؟	N-B		
B-8731	How did you know... about the son?	كيف عرفت بشأن إبنها ؟	N-B		
B-8732	How did you lure another $3 billion?	كيف قمتم باستدراج الثلاث مليون الأخرى ؟	N-M!	كيف قمتن باستدراج الثلاث مليون الأخرى ؟	
B-8733	How did you manage that?	كيف إستطعت فعل ذلك ؟	N-B		
B-8734	How did you meet Dani Littlejohn?	- كيف إلتقيت ب ( داني ليتل جون ) ؟	N-B		
B-8735	How did you meet?	كيف إلتقيتم ببعضكما ؟		HARD	إلتقيتم ببعضكما
B-8736	How did you not get turned into Chronos?	كيف لم تتحول إلى ( كرونوس ) ؟	N-M	كيف لم تتحولي إلى ( كرونوس ) ؟	
B-8737	How did you swing that?	كيف ادليتي بذلك ؟	N-F	كيف أدليت بذلك ؟	
B-8738	How did you take Alice's phone?	كيف أخذت هاتف ( آليس ) ؟	N-B		
B-8739	How did you two lovebirds meet?	كيف اثنين من طيور الحب الوفاء ؟	N-N		Bad translation
B-8740	How did you, like, learn how to do stuff?	كيف تعلمت القيام بهذا الشيء ؟	N-B		
B-8741	How did- how did he hear you?	كيف سمعك ؟ . . . أعني	B-B		
B-8742	How do you always look so beautiful in the morning?	كيف تبدين جميلة جدا دائما فى الصباح ؟	N-F	كيف تبدو جميل جدا دائما فى الصباح ؟	
B-8743	How do you americans say it?	كيف تقولونها أنتم الأمريكيون ؟	N-M!	كيف تقلنها أنتن الأمريكيات ؟	
B-8744	How do you clean your grill?	كيف تنظف شوايتك ؟	N-M	كيف تنظفين شوايتك ؟	
B-8745	How do you coming?	كيف القادمة ؟	N-N		Bad translation
B-8746	How do you deal with something like that?	هكذا تتعامل مع شيء ما مثل ذلك ؟	N-M	هكذا تتعاملين مع شيء ما مثل ذلك ؟	
B-8747	How do you do, Mr. Worley.	( كيف حالك يا سيد ( وورلي	N-M	( كيف حالك يا سيدة ( وورلي	
B-8748	How do you even know Nessa? Oh,	كيف تعرفينها ؟	N-F	كيف تعرفها ؟	
B-8749	How do you fake a vasectomy?	كيف تظاهر ب عملية قطع القناة المنوية ؟	N-M	كيف تظاهرين ب عملية قطع القناة المنوية ؟	
B-8750	How do you feel about that?	كيف تشعر حيال ذلك ؟	N-M	كيف تشعرين حيال ذلك ؟	
B-8751	How do you feel like that?	ما رأيك بذلك ؟ نعم	B-B		
B-8752	How do you feel?	بما تشعرين ؟	N-F	بما تشعر؟	
B-8753	How do you figure that?	كيف خمنت هذا ؟	N-B		
B-8754	How do you figure?	كيف تتأكدين ؟	N-F	كيف تتأكد ؟	
B-8755	How do you fish?	كيف السمك ؟	N-N		
B-8756	How do you know Kandi?	كيف تعرفين ( كاندي ) ؟	N-F	كيف تعرف ( كاندي ) ؟	
B-8757	How do you know about her?	كيف يمكنك ان تعرف عنها ؟	N-M	كيف يمكنك أن تعرفي عنها ؟	
B-8758	How do you know about our nanobot initiative?	كيف تعرفين حول مبادرة روبوتات النانو ؟	N-F	كيف تعرف حول مبادرة روبوتات النانو ؟	
B-8759	How do you know about that?	كيف لكن أن تعلمن بشأن هذا ؟	N-F!	كيف لكم أن تعلموا بشأن هذا ؟	
B-8760	How do you know about the Tengu Forest?	كيف تعرف بأمر غابة ال ( تنغو ) ؟	N-M	كيف تعرفين بأمر غابة ال ( تنغو ) ؟	
B-8761	How do you know he won't be back again?	كيف تعرف بأنه لن يعود مجددا ؟	N-M	كيف تعرفين بأنه لن يعود مجددا ؟	
B-8762	How do you know him?	كيف عرفته ؟	N-B		
B-8763	How do you know it was a lumberjacker?	كيف تعرفين بأنهم كانوا ( لامبر جاكيت ) ؟	N-F	كيف تعرف بأنهم كانوا ( لامبر جاكيت ) ؟	
B-8764	How do you know it wasn't damaged before the murder?	كيف يمكنك أن تعرف لم تلف لها من قبل والقتل ؟	N-M	كيف يمكنك أن تعرفي لم تلف لها من قبل والقتل ؟	
B-8765	How do you know it's a woman?	- كيف تعرف أنها امرأة ؟	N-M	- كيف تعرفين أنها امرأة ؟	
B-8766	How do you know it's her?	كيف قمت بذلك ؟	N-B		
B-8767	How do you know it's like sex to him?	- كيف علمت أنها كالجنس بالنسبة له ؟	N-B		
B-8768	How do you know that name?	كيف تعرفين هذا الإسم ؟	N-F	كيف تعرف هذا الإسم ؟	
B-8769	How do you know that word?	آنى لك تعرف هذه الكلمة ؟	N-B		
B-8770	How do you know that?	كيف يمكنك معرفة ذلك ؟	N-B		
B-8771	How do you know that?	مالذي يجعلك تعرف هذا بالضبط ؟	B-S		مالذي
B-8772	How do you know they're still alive?	كيف لك أن تعرفي بأنهم على قيد الحياة ؟	N-F	كيف لك أن تعرف بأنهم على قيد الحياة ؟	
B-8773	How do you know...?	كيف عرفت ؟	N-B		
B-8774	How do you like it?	ما رأيك به ؟	N-B		
B-8775	How do you like it?	هل ترغبين بذلك ؟	N-F	هل ترغب بذلك ؟	
B-8776	How do you like this planet?	هل تحب هذا الكوكب ؟	N-M	هل تحبين هذا الكوكب ؟	
B-8777	How do you manage a situation like that?	كيف تتدبر وضعا كهذا ؟	N-M	كيف تتدبرين وضعا كهذا ؟	
B-8778	How do you manage to go one day at a time without a drink?	كيف تتعامل في يوم واحد من غير الشراب ؟	N-M	كيف تتعاملين في يوم واحد من غير الشراب ؟	
B-8779	How do you not put money aside to prepare for a rainy day?	كيف لو تدخر أي اموال ليوم ممطر ؟	N-M	كيف لو تدخرين أي اموال ليوم ممطر ؟	
B-8780	How do you plan that?	كيف سوف تنجز هذا ؟	N-M	كيف سوف تنجزين هذا ؟	
B-8781	How do you plan to deal with that, Mr. Gordon?	كيف تخطط للتعامل مع ذلك يا سيد ( جوردن ) ؟	N-M	كيف تخططين للتعامل مع ذلك يا سيدة ( جوردن ) ؟	
B-8782	How do you plan to get secretly rich?	كيف تخطط أن تكون غتي سرا . ؟	B-S		غتي
B-8783	How do you propose we do that?	كيف عملت تقترح نحن ذلك ؟	B-S		Meaningless_تقترح/نحن
B-8784	How do you response to these charges?	كيف تردون على هذه التهم ؟	N-M!	كيف تردن على هذه التهم ؟	
B-8785	How do you say, "un escudo mágico de sangre"?	كيف تقولين درع سحري من الدم	N-F	كيف تقول درع سحري من الدم	
B-8786	How do you spell "dichotomy"?	كيف تتهجأ " إنشطارى " ؟	N-M	كيف تتهجئي " إنشطارى " ؟	
B-8787	How do you spend your day?	كيف تقضين وقتك ؟	N-F	كيف تقضي وقتك ؟	
B-8788	How do you stand it?	- كيف تطيقينه ؟	N-F	- كيف تطيقه ؟	
B-8789	How do you suggest we do that?	وكيف تقترح عمل ذلك ؟	N-M	وكيف تقترحين عمل ذلك ؟	
B-8790	How do you suggest we get it out?	كيف تقترح أن نخرجه ؟	B!-M	كيف تقترحين أن نخرجه ؟	
B-8791	How do you tell someone she'll be dead soon when she's cracking jokes?	كيف يمكنك أن تخبر شخصا أنه على وشك الموت بينما هو مرحا ؟	N-M	كيف يمكنك أن تخبري شخصا أنه على وشك الموت بينما هو مرحا ؟	
B-8792	How do you think he's, uh...	ماذا تظن انه . . . ؟	N-M	ماذا تظنين انه . . . ؟	
B-8793	How do you think people will look at our Haeshin?	كيف تفكر بنظر الناس إلى " هاي شين " ؟	N-M	كيف تفكرين بنظر الناس إلى " هاي شين " ؟	
B-8794	How do you think that we fund this organization, huh?	كيف تظنين أننا نمول منظمتنا ؟	B!-F	كيف تظن أننا نمول منظمتنا ؟	
B-8795	How do you think that will affect our draw down in the region?	كيف تظن أن ذلك سيؤثر على عملية انسحابنا من المنطقة ؟	B!-M	كيف تظنين أن ذلك سيؤثر على عملية انسحابنا من المنطقة ؟	
B-8796	How do you think we'll know if your plan worked?	كيف تظننا سنعرف إن كانت خطتك قد نجحت ؟	B!-B		
B-8797	How do you think?	ماذا تعتقدين ؟	N-F	ماذا تعتقد ؟	
B-8798	How do you use it?	كيف تستخدمها ؟	N-M	كيف تستخدمينها ؟	
B-8799	How do you walk in the sun?	كيف تسيرون بالشمس ؟	N-M!	كيف تسيرن بالشمس ؟	
B-8800	How do you want to do it?	كيف تريدنه أن يكون ؟	B-F!	كيف تريدونه أن يكون ؟	
B-8801	How do you want yours, on the rocks?	كيف تريدين ذلك ؟	N-F	كيف تريد ذلك ؟	
B-8802	How do you work this bloody thing?	كيف يعمل هذا الشيء اللعين ؟	N-N		
B-8803	How does it taste on your tongue?	كيف هو طعم الندم على لسانك ؟	N-B		
B-8804	How does putting your face on a crappy sauce make it taste better?	كيف وضع صورتك على صلصة كربي يجعل طعمها أفضل ؟	N-B		
B-8805	How does you talking about Sara lead to you having sex with Alex?	وأنت ازاى كلامك عن ( سارة ) خلاك فى الآخر تنام مع ( أليكس ) ؟		HARD	Colloquial
B-8806	How does your father seem today?	كيف يبدو والدك اليوم ؟	N-B		
B-8807	How else can you explain it?	وإلا كيف يمكن تفسير ما يحدث ؟	N-N		
B-8808	How else can you survive in this world?	بغير ذلك ، كيف سينجو من هذا العالم ؟ بالدراسه ، صحيح ؟		HARD	
B-8809	How embarrassing for you.	كم هذا محرج لكي	N-F	كم هذا محرج لك	
B-8810	How familiar are you two with Sombra Roja?	" ما مدي معرفتكما ل " سومبرا روجا	N-B!		
B-8811	How far along are you?	منذ متى ؟	N-N		
B-8812	How far away did you think we were?	كم أعتقدتي مسافة البعد التي نحن فيها ؟	B!-F	كم أعتقدت مسافة البعد التي نحن فيها ؟	أعتقدتي
B-8813	How fast can you get that chopper up there? Let's go.	حسنا ، متى ستصل تلك المروحية إلى هناك ؟	B-N		
B-8814	How fortunate you mention that.	ياله من حظ ان تذكر ذلك	N-M	ياله من حظ ان تذكري ذلك	
B-8815	How happy would your sister be that you are going to Canada!	أختك سعيدة جدا لذهابك إلى ( كندا ) !	N-B		
B-8816	How have you been?	- بخير حال ، و أنت ؟	N-B		
B-8817	How high are you?	لأي درجة أنت منتشي ؟	N-M	لأي درجة أنت منتشية ؟	
B-8818	How is it that you can turn back time, apparently?	كيف يمكنك انت اعاده الوقت ؟	N-B		
B-8819	How is it you have no pity for Helen?	كيف تأتى لك أن لا تملكين شفقة على هيلين ؟	N-F	كيف تأتى لك أن لا تملك شفقة على هيلين ؟	
B-8820	How is it your fault?	كيف هو عيبك ؟	N-B		
B-8821	How is that your concern?	كيف لهذا أن يكون شأنك ؟	N-B		
B-8822	How is your leg?	- أهلا ريس كيف حال قدمك ؟	B-B		
B-8823	How james martin was able to shoot your men in the back so easily.	عن كيف إستطاع ( جايمس مارتن ) إطلاق النار على رجالك في الظهر بهذه السهولة	N-B		
B-8824	How long are you going to go on resenting the past?	إلى متى سوف تمتعضين الماضى ؟	N-F	إلى متى سوف تمتعض الماضى ؟	
B-8825	How long are you gonna keep doing that?	كم ستبقى و أنت تفعل ذلك	N-M	كم ستبقين و أنت تفعلين ذلك	
B-8826	How long are you gonna make us suffer?	إلى متى ستجعلينا نعاني ؟	B!-F	إلى متى ستجعلنا نعاني ؟	
B-8827	How long before people find out who you really are ?	كم هى المدة قبل ان يعرف الناس من انت ؟	N-B		
B-8828	How long before the rest of these boys turn on you, break out the piano wire?	لكم من الوقت حتى ينقلب هؤلاء الاولاد ضدك ؟ قطع أوتار البيانو ؟	N-B		
B-8829	How long can you hold your breath?	إلى متى بالإمكان أن أنت تحبس أنفاسك ؟	N-M	إلى متى بالإمكان أن أنت تحبسين أنفاسك ؟	
B-8830	How long can you keep us in the air?	متى يمكنك أن تبقي لنا في الهواء ؟	B!-F	متى يمكنك أن تبقى لنا في الهواء ؟	
B-8831	How long did you know him this way?	كم مضى على معرفتك به في هذه الصورة ؟	N-B		
B-8832	How long did your not friend lay in that vat of cement unable to move before you four geniuses, you band of brothers, future Mother Teresas, how long did he lay in that cement yelling that he couldn't move before you called the police?	كم تركتم من هو ليس صديقكم في هذا الحوض الأسمنتي ، قبل أن تقوموا أيها العباقرة . .		HARD	
B-8833	How long do you think they can Hold it before we get back?	كم المدة التي تعتقد أن بإمكانهم التماسك حتى نعود ؟	B!-M	كم المدة التي تعتقدين أن بإمكانهم التماسك حتى نعود ؟	
B-8834	How long do you think they can hold her off for?	متى تظن أنها يمكن أن تعقد لها قبالة عنه ؟	N-M	متى تظنين أنها يمكن أن تعقد لها قبالة عنه ؟	
B-8835	How long do you want to give her?	كم من الوقت تريد اعطائها ؟	N-M	كم من الوقت تريدين اعطائها ؟	
B-8836	How long has it been since you've been in a concert hall?	كم المده التي انقضت منذ أن كنت آخر مره هنا في القاعه ؟	N-B		
B-8837	How long have you and Aziz been together?	منذ متى وأنت وكان عزيز معا ؟		HARD	Bad translation
B-8838	How long have you been here, by the way?	منذ متي وانتي هنا بالمناسبة ؟	N-F	منذ متي وأنت هنا بالمناسبة ؟	
B-8839	How long have you been here?	منذ متي وأنت هنا ؟	N-B		
B-8840	How long have you been in your position?	كم لبثتي في هذا المنصب	N-F	كم لبثت في هذا المنصب	
B-8841	How long have you been looking for us?	منذ متى وأنت تبحثين عنا ؟	B!-F	منذ متى وأنت تبحث عنا ؟	
B-8842	How long have you been married?	كم مضى على زواجكما ؟	N-B!		
B-8843	How long have you been volunteering with the Search and Rescue Rangers?	منذ متى وأنت تتطوع مع جوالة البحث والإنقاذ ؟	N-M	منذ متى وأنت تتطوعين مع جوالة البحث والإنقاذ ؟	
B-8844	How long have you had her?	منذ متى وأنت تملكينها ؟	N-F	منذ متى وأنت تملكها ؟	
B-8845	How long have you known?	مذ متى وأنت تعلم ؟	N-M	مذ متى وأنت تعلمين ؟	
B-8846	How long have you lived in the village?	كم عشت في القرية ؟	N-B		
B-8847	How long until you get to the data control room?	كم بقي لك حتى تصل لوحدة التحكم بالبيانات ؟	N-B		
B-8848	How long were you married to Brandon?	- منذ متى وانت متزوجة من ( براندون ) ؟	N-F	- منذ متى وانت متزوج من ( براندون ) ؟	
B-8849	How long will it take for you to reprogram it?	كم ستأخذ من وقت لإعادة برمجتها ؟	N-M	كم ستأخذين من وقت لإعادة برمجتها ؟	
B-8850	How long will it take to get your pictures?	كم من الوقت يلزمك لالتقاط الصور ؟	N-B		
B-8851	How long will it take your man to find GerHARDt?	كم سيستغرق رجلك ليعثر على ( غيرهارت ) ؟	N-B		
B-8852	How long will you be staying?	إلى متى ستبقى ؟	N-M	إلى متى ستبقين ؟	
B-8853	How long will you be, dear?	متى ستعود يا عزيزى	B-M	متى ستعودين يا عزيزتي	
B-8854	How long will you stay in London?	إلى متى ستبقين في " لندن " ؟	N-F	إلى متى ستبقى في " لندن " ؟	
B-8855	How long you been doing this for?	منذ متى وأنت تفعل هذا ؟	N-M	منذ متى وأنت تفعلين هذا ؟	
B-8856	How long you been sitting there?	لكم من الوقت بقيت هنا ؟	N-B		
B-8857	How long you think - it's been there?	- كم من الوقت مر عليه هنا في ظنك ؟	N-B		
B-8858	How long you think we got?	- كم من الوقت تظن لدينا ؟	B!-M	- كم من الوقت تظنين لدينا ؟	
B-8859	How many baby daddy you know in the ghetto that stick around, huh?	كم عدد الأباء الذي بالأحياء الصغيرة يبقون ، هاه ؟	N-N		Bad translation
B-8860	How many boobs did you see?	كم صدر رأيتي ؟	N-F	كم صدر رأيت ؟	رأيتي
B-8861	How many bullets you got left, Jethro?	كم عدد الرصاصات حصلت تركت ، شعيب ؟	N-B		
B-8862	How many cats you got?	- كم قطة لديك ؟	N-B		
B-8863	How many dead innocent people can you live with?	كم عدد الأبرياء يمكنك قتلهم ؟	N-B		
B-8864	How many deals did you make, Dad? - Jonah!	كم من الصفقات قمت ، أبي	B-M	كم من الصفقات قمت ، أمي	
B-8865	How many dinners did this chain cost your family?	كم من وجبات للعشاء منعك عنها هذا وكلف عائلتك ؟	N-B		
B-8866	How many drinks you have?	كم مشروبا تناولته ؟	N-B		
B-8867	How many men did you have sex with?	كم من الرجال هل ممارسة الجنس معها ؟	N-N		
B-8868	How many men did you kill today? Hmm?	كم رجلا قتلت اليوم ؟	N-B		
B-8869	How many more of these do you have?	) " كم لديك من تلك الألقاب ؟	N-B		
B-8870	How many of these did you take?	) كم قرص تناولت ؟	N-B		
B-8871	How many of you are there?	كم أنتم ؟	N-M!	كم أنتن ؟	
B-8872	How many of you want to be lawyers when you grow up?	كم من منكم يريد أن يكون محاميا عندما يكبر ؟	N-M!	كم من منكن تريد أن تكون محامية عندما تكبر ؟	
B-8873	How many people do you think are watching?	كم من الناس هل تعتقد أن نراقب ؟	B!-M	كم من الناس هل تعتقدين أن نراقب ؟	
B-8874	How many people you got in there?	منذ متى أنت بالداخل ؟	N-B		
B-8875	How many points you want to try for, from 1 to 11?	كم نقطة تريد على سؤالك ؟	N-M	كم نقطة تريدين على سؤالك ؟	
B-8876	How many spaceships does a girl need to stumble upon to convince you that there are aliens among us?	كم من سفينة فضائية علي أن أراها لكي تقتنع أن هناك مخلوقات فضائية بيننا .		HARD	علي - بيننا
